avaliacaosk,nota,usuariosk,filmesk,produtorask,calendariosk,enderecosk
19468,4,819,114,8,40,10
6034,4,348,114,8,71,67
19032,2,1450,114,8,90,29
5061,3,1054,114,8,117,67
16015,3,677,114,8,141,2
7125,3,1130,114,8,144,10
18014,2,1993,114,8,179,124
17534,1,373,114,8,193,61
16727,5,612,114,8,194,40
2340,1,136,114,8,215,28
13945,4,583,114,8,227,156
19341,5,1951,114,8,229,19
12799,1,1070,114,8,260,18
12458,3,194,114,8,281,100
15126,4,1814,114,8,294,22
16526,2,1097,114,8,300,15
5347,5,1155,114,8,301,125
7978,2,424,114,8,330,61
6196,5,249,114,8,341,12
11183,3,256,114,8,352,41
6385,1,1461,114,8,355,35
14870,5,1486,114,8,357,10
7118,4,869,114,8,397,100
3366,2,611,114,8,404,15
10090,3,633,114,8,435,32
1992,3,1696,114,8,577,29
16561,2,1427,114,8,606,124
7683,5,1233,114,8,670,2
17101,4,1630,114,8,780,125
6739,5,1582,114,8,821,40
1587,1,1807,114,8,840,25
5475,2,188,114,8,856,33
14923,1,907,114,8,886,67
4969,3,1686,114,8,916,84
1227,3,890,114,8,934,32
7767,1,137,114,8,942,35
10136,1,122,114,8,980,76
2266,1,1938,114,8,1004,28
2056,5,1326,114,8,1025,118
1714,2,723,114,8,1052,3
3156,4,912,114,8,1075,80
8981,3,247,199,6,39,29
8840,5,1579,199,6,57,76
8864,1,418,199,6,100,67
14352,4,162,199,6,157,124
4908,5,1431,199,6,159,53
3912,1,359,199,6,182,4
4529,1,1018,199,6,238,1
2497,5,1076,199,6,317,2
11965,2,1368,199,6,337,42
3624,4,1849,199,6,342,100
12188,3,522,199,6,362,28
862,4,1970,199,6,374,10
6312,2,1608,199,6,377,32
19698,5,1747,199,6,393,29
14901,2,1767,199,6,467,32
17857,3,350,199,6,470,72
18948,5,1726,199,6,502,21
6141,2,524,199,6,554,17
7176,3,1283,199,6,570,53
4496,3,1852,199,6,585,156
5432,1,131,199,6,586,39
5080,4,423,199,6,591,61
12252,2,1087,199,6,688,125
3638,4,1564,199,6,733,14
10391,1,1585,199,6,739,100
10807,2,925,199,6,752,36
10932,3,1280,199,6,753,2
19693,3,1418,199,6,826,29
