filmesk,duracaomin,filmenome,anodelancamento,generonome
1,82,occur,1982,majority
2,65,look,2009,Gênero Desconhecido
3,152,national,1999,Gênero Desconhecido
4,176,enjoy,1977,water
5,118,provide,2003,Gênero Desconhecido
6,121,among,1986,Gênero Desconhecido
7,79,air,1979,Gênero Desconhecido
8,71,leader,2014,few
9,96,claim,2020,Gênero Desconhecido
10,173,land,1985,throughout
11,159,those,1995,Gênero Desconhecido
12,93,magazine,2025,Gênero Desconhecido
13,101,light,1999,Gênero Desconhecido
14,88,process,1981,discussion
15,114,new,2020,although
16,144,instead,1995,full
17,158,article,2025,Gênero Desconhecido
18,110,produce,1989,interest
19,102,research,2016,Gênero Desconhecido
20,107,generation,2017,south
21,165,other,1995,Gênero Desconhecido
22,144,mission,1988,Gênero Desconhecido
23,176,set,1997,Gênero Desconhecido
24,121,team,1993,suddenly
25,137,without,2023,Gênero Desconhecido
26,172,positive,1986,Gênero Desconhecido
27,117,figure,1982,Gênero Desconhecido
28,91,good,2023,Gênero Desconhecido
29,178,close,2019,Gênero Desconhecido
30,101,window,1999,Gênero Desconhecido
31,79,economic,1984,Gênero Desconhecido
32,64,either,1994,case
33,106,factor,1986,view
34,95,there,1973,Gênero Desconhecido
35,136,ready,1987,Gênero Desconhecido
36,105,front,1997,Gênero Desconhecido
37,96,across,1973,Gênero Desconhecido
38,93,arrive,1983,Gênero Desconhecido
39,71,improve,1997,Gênero Desconhecido
40,131,husband,2024,Gênero Desconhecido
41,145,difficult,1992,Gênero Desconhecido
42,156,sport,2019,executive
43,104,probably,2015,future
44,121,different,1988,Gênero Desconhecido
45,161,return,1981,Gênero Desconhecido
46,142,right,1981,Gênero Desconhecido
47,113,shake,2012,pass
48,67,too,1982,Gênero Desconhecido
49,61,most,1972,police
50,160,population,2014,Gênero Desconhecido
51,119,similar,2019,Gênero Desconhecido
52,98,avoid,2013,Gênero Desconhecido
53,135,animal,1997,Gênero Desconhecido
54,175,produce,1970,Gênero Desconhecido
55,137,consumer,2020,Gênero Desconhecido
56,75,may,2018,Gênero Desconhecido
57,148,evening,1997,dream
58,108,probably,1998,Gênero Desconhecido
59,116,spend,1985,age
60,121,long,1988,do
