receitask,valorpago,usuariosk,calendariosk,enderecosk
122,25,58,1,23
1203,25,721,1,42
1913,10,31,1,10
2127,87,1180,1,78
4635,1,702,1,67
5288,71,258,1,4
1333,50,340,2,156
1165,79,1112,2,12
1614,44,1714,2,10
2582,55,382,2,75
4014,85,12,2,15
4336,85,808,2,61
4889,79,506,2,68
5371,86,846,2,36
5281,34,1975,2,36
3418,39,249,3,84
4036,28,265,3,28
3715,56,113,3,35
5469,66,478,3,8
411,72,1984,4,62
3041,70,47,4,84
5020,89,1660,4,19
4930,87,452,4,2
164,69,1564,5,118
152,37,212,5,32
1502,19,627,5,25
1475,17,817,5,76
2393,32,86,5,75
3552,94,658,5,14
3308,100,1814,5,118
5056,12,1242,5,68
4783,36,746,5,12
497,51,735,6,134
939,12,1810,6,53
1236,15,336,6,67
2185,52,1014,6,20
3477,10,938,6,124
3647,9,225,6,125
5675,54,1728,6,22
1040,3,246,7,8
3010,53,388,7,39
2685,40,610,7,124
4491,65,1120,7,68
4453,38,1289,7,36
5806,7,1603,7,35
1858,73,49,8,3
93,95,1996,9,21
920,25,301,9,80
885,48,151,9,20
1276,11,1205,9,29
2970,19,168,9,22
2578,58,1606,9,42
4545,7,57,9,53
5494,92,1751,9,1
5237,55,1440,9,40
5673,84,1439,9,125
1352,70,623,10,156
2973,84,893,10,67
2691,97,779,10,33
3373,76,1362,10,2
3915,94,1753,10,61
3768,62,517,10,53
4908,43,1783,10,62
4741,60,31,10,10
5342,54,850,10,6
1187,1,1021,11,100
1183,11,800,11,118
1141,11,1472,11,21
2830,90,1783,11,62
4103,69,461,11,6
1430,99,646,12,25
2644,98,200,12,19
5582,85,1199,12,21
5572,18,271,12,39
5483,33,1544,12,41
5861,97,947,12,40
1732,41,1607,13,25
2443,14,1071,13,35
2427,20,352,13,41
2863,98,232,13,32
2612,48,429,13,217
965,71,1694,14,125
903,25,86,14,75
1792,42,478,14,8
4119,72,1717,14,134
5936,67,1345,14,78
209,66,1397,15,3
75,13,462,15,32
1944,46,1080,15,7
2352,85,175,15,1
3029,55,440,15,29
4540,87,524,15,42
4371,70,67,15,17
4198,39,1056,15,35
5771,50,1214,15,20
248,59,1901,16,53
1189,56,1056,16,35
1605,31,1497,16,15
2253,97,1522,16,14
2563,91,1783,16,62
4603,58,704,16,10
333,79,14,17,118
1412,49,43,17,33
1722,51,1841,17,2
5690,41,248,17,125
1963,69,872,18,25
1559,70,1455,18,28
2464,7,1328,18,42
2431,84,423,18,32
2417,73,1291,18,20
2217,6,810,18,18
2967,41,471,18,124
4362,36,1332,18,33
5603,82,1435,18,11
5638,61,969,18,11
134,72,274,19,53
1374,98,1614,19,217
2496,61,356,19,76
3537,83,1353,19,19
3981,53,1146,19,156
5365,66,1157,19,28
5153,63,1308,19,2
2301,94,1312,20,151
3240,75,1669,20,21
3212,39,873,20,22
3692,4,1869,20,38
4414,18,1075,20,17
992,27,1001,21,10
1748,62,1454,21,68
2170,38,229,21,12
2056,86,1338,21,42
3558,75,327,21,75
3076,55,491,21,125
4175,96,1372,21,11
5464,15,1963,21,17
5132,96,863,21,11
475,81,173,22,124
1265,15,683,22,6
2806,1,1894,22,41
4499,40,1115,22,17
4197,82,1077,22,14
4124,19,353,22,75
2813,98,836,23,42
3496,54,1652,23,6
4874,14,791,23,156
5338,11,46,23,42
85,74,1246,24,4
2189,32,592,24,72
5389,86,1648,24,84
5172,13,1541,24,67
5728,2,1535,24,156
1805,39,321,25,67
2508,34,1866,25,22
4205,89,965,25,22
4795,21,998,26,53
5359,49,843,26,134
574,41,1474,27,100
4074,36,1556,27,12
4522,8,439,27,3
4382,33,84,27,35
4622,74,137,27,61
5768,34,1723,27,61
284,39,1965,28,72
3122,67,1539,28,4
3972,85,605,28,23
797,83,1861,29,134
1446,10,1701,29,20
2816,38,116,29,10
2620,40,1620,29,8
5940,3,1168,29,36
1906,53,569,30,18
3265,11,1771,30,61
4450,67,1022,30,7
4196,4,1629,30,14
1092,7,525,31,38
2513,3,241,31,29
4531,24,739,31,2
4512,40,999,31,18
4252,25,1807,31,62
4820,62,1874,31,62
5485,16,1335,31,41
5948,68,1544,31,41
3845,92,1834,32,84
4554,17,1045,32,35
4680,66,1562,32,76
4611,57,1262,32,118
5390,5,1384,32,20
120,72,1805,33,28
1086,18,1194,33,100
2142,87,1811,33,118
2130,19,1388,33,23
3570,80,1477,33,14
3267,55,365,33,2
3954,60,1101,33,36
4117,100,1989,33,17
4969,59,191,33,3
5450,55,1134,33,32
5417,98,477,33,7
815,73,1876,34,32
1118,98,1591,34,19
1995,74,962,34,76
2273,61,1485,34,38
4393,5,1987,34,118
4751,70,1684,34,15
5536,15,1813,34,42
324,34,1125,35,1
109,56,1085,35,8
741,16,363,35,6
1413,41,1495,35,62
1669,66,834,35,10
2986,58,774,35,40
4495,38,773,35,75
4249,84,1299,35,118
5529,17,1165,35,11
542,2,651,36,20
1471,75,1976,36,22
2236,45,1865,36,35
2145,23,1965,36,72
2080,93,1581,36,14
4037,34,923,36,25
4267,57,1534,36,7
5269,73,1312,36,151
5683,78,595,36,22
591,85,1860,37,53
1851,47,277,37,134
2547,41,1781,37,118
2461,77,1639,37,62
1731,34,1616,38,41
4539,31,796,38,7
4167,58,574,38,75
506,6,1480,39,156
1097,72,428,39,36
2880,53,803,39,6
3871,30,901,39,15
5113,49,1579,39,19
4858,96,1852,39,2
5465,7,631,39,78
5394,60,206,39,25
1977,94,1125,40,1
1700,68,1551,40,10
2558,84,1659,40,61
3195,54,993,40,151
4439,20,1008,40,39
5958,85,1386,40,20
147,90,334,41,1
1027,48,477,41,7
1626,18,1535,41,156
3006,15,1245,41,17
4907,15,1294,41,125
5313,67,92,41,125
882,11,1925,42,125
804,68,1040,42,33
3014,90,713,42,35
4068,57,1932,42,41
3670,68,151,42,20
4346,71,877,42,39
5041,10,611,42,42
4731,4,1369,42,32
5223,48,346,42,7
3548,5,739,43,2
3587,43,1272,43,35
1533,22,1934,44,12
1406,27,24,44,3
2467,36,1962,44,20
5404,18,1052,44,29
5163,38,34,44,10
1039,84,1446,45,67
3220,99,669,45,19
3590,97,852,45,124
5747,89,1422,45,76
176,48,1158,46,14
928,74,327,46,75
1201,95,1572,46,14
4956,31,619,46,18
4691,57,90,46,62
5656,10,1706,46,75
814,20,1188,47,33
1809,40,293,47,38
2632,81,264,47,10
3546,24,1823,47,28
3442,39,1348,47,40
3403,52,249,47,84
3251,62,1211,47,84
4425,50,1842,47,11
4420,25,1842,47,11
4240,85,274,47,53
5120,85,1053,47,28
169,74,76,48,10
1979,24,760,48,4
2935,5,1075,48,17
3431,76,349,48,11
331,63,1641,49,35
291,99,1310,49,17
3061,63,857,49,100
3057,20,1931,49,124
2995,5,1634,49,8
2909,24,444,49,151
2673,96,748,49,100
4140,41,1596,49,80
5596,11,198,49,62
5872,52,1492,49,29
648,28,894,50,124
1061,96,1022,50,7
2038,38,1044,50,36
1766,71,1895,50,40
2119,40,845,50,2
3475,67,991,50,1
4083,97,276,50,29
5037,77,1049,50,80
4835,53,848,50,67
5545,70,318,50,217
5997,13,1130,50,36
52,70,958,51,28
618,36,1260,51,11
1349,23,1602,51,217
